iter	Passed	Remaining
414	2570	3623
415	2576	3616
416	2581	3609
417	2587	3602
418	2591	3593
419	2595	3583
420	2600	3576
421	2604	3567
422	2608	3557
423	2612	3549
424	2617	3541
425	2622	3533
426	2627	3526
427	2633	3519
428	2639	3512
429	2644	3504
430	2648	3496
431	2652	3487
432	2657	3479
433	2662	3472
434	2666	3463
435	2669	3453
436	2673	3444
437	2676	3434
438	2681	3427
439	2687	3419
440	2692	3413
441	2698	3406
442	2703	3399
443	2708	3391
444	2714	3385
445	2719	3377
446	2725	3371
447	2730	3364
448	2736	3358
449	2743	3353
450	2748	3346
451	2754	3339
452	2758	3331
453	2762	3322
454	2766	3313
455	2770	3305
456	2774	3296
457	2778	3288
458	2786	3284
459	2790	3275
460	2794	3267
461	2799	3260
462	2804	3252
463	2806	3242
464	2810	3233
465	2815	3226
466	2819	3217
467	2822	3209
468	2826	3199
469	2831	3192
470	2837	3186
471	2841	3178
472	2847	3172
473	2853	3166
474	2858	3158
475	2863	3152
476	2869	3146
477	2874	3138
478	2879	3132
479	2884	3124
480	2888	3116
481	2892	3108
482	2896	3100
483	2902	3094
484	2906	3086
485	2912	3080
486	2916	3072
487	2921	3064
488	2931	3063
489	2935	3055
490	2944	3052
491	2949	3045
492	2953	3037
493	2959	3031
494	2965	3025
495	2972	3020
496	2980	3016
497	2986	3010
498	2990	3002
499	2999	2999
500	3004	2992
501	3012	2988
502	3019	2983
503	3030	2982
504	3034	2974
505	3043	2970
506	3049	2965
507	3056	2960
508	3061	2953
509	3066	2946
510	3074	2942
511	3080	2936
512	3086	2929
513	3092	2924
514	3096	2915
515	3102	2910
516	3108	2903
517	3119	2902
518	3125	2896
519	3131	2890
520	3138	2885
521	3142	2877
522	3147	2871
523	3153	2864
524	3156	2855
525	3160	2847
526	3167	2842
527	3173	2836
528	3183	2834
529	3188	2827
530	3196	2823
531	3202	2817
532	3212	2814
533	3218	2808
534	3221	2800
535	3228	2794
536	3234	2788
537	3241	2783
538	3246	2777
539	3276	2790
540	3294	2794
541	3320	2805
542	3353	2822
543	3366	2821
544	3372	2815
545	3378	2809
546	3383	2801
547	3388	2794
548	3397	2790
549	3402	2784
550	3407	2776
551	3412	2769
552	3419	2764
553	3427	2759
554	3432	2752
555	3439	2746
556	3446	2741
557	3451	2733
558	3460	2730
559	3464	2721
560	3468	2713
561	3474	2708
562	3480	2701
563	3492	2699
564	3496	2691
565	3503	2686
566	3508	2679
567	3512	2671
568	3519	2666
569	3524	2658
570	3528	2650
571	3532	2643
572	3538	2636
573	3541	2628
574	3550	2623
575	3553	2615
576	3557	2607
577	3560	2599
578	3564	2591
579	3569	2584
580	3573	2576
581	3576	2568
582	3580	2560
583	3585	2554
584	3592	2548
585	3600	2543
586	3603	2535
587	3608	2528
588	3615	2522
589	3619	2515
590	3626	2509
591	3632	2503
592	3636	2495
593	3640	2488
594	3646	2482
595	3651	2474
596	3653	2466
597	3657	2459
598	3666	2454
599	3670	2446
600	3674	2439
601	3679	2432
602	3683	2425
603	3687	2417
604	3693	2411
605	3696	2403
606	3699	2395
607	3706	2389
608	3710	2382
609	3714	2375
610	3719	2367
611	3724	2361
612	3727	2353
613	3730	2345
614	3735	2338
615	3739	2331
616	3743	2323
617	3746	2315
618	3750	2308
619	3754	2301
620	3758	2293
621	3763	2287
622	3772	2282
623	3777	2276
624	3781	2269
625	3786	2262
626	3790	2255
627	3795	2248
628	3802	2242
629	3807	2236
630	3813	2230
631	3818	2223
632	3824	2217
633	3830	2211
634	3833	2203
635	3837	2196
636	3840	2188
637	3844	2181
638	3847	2173
639	3852	2167
640	3856	2159
641	3860	2152
642	3864	2145
643	3868	2138
644	3874	2132
645	3881	2126
646	3886	2120
647	3892	2114
648	3897	2108
649	3903	2101
650	3907	2095
651	3912	2088
652	3916	2081
653	3921	2074
654	3926	2068
655	3931	2061
656	3937	2055
657	3940	2048
658	3946	2041
659	3951	2035
660	3957	2029
661	3963	2023
662	3968	2017
663	3974	2011
664	3980	2005
665	3985	1998
666	3990	1992
667	3994	1985
668	3999	1978
669	4004	1972
670	4008	1965
671	4013	1959
672	4021	1953
673	4025	1947
674	4030	1940
675	4034	1933
676	4038	1926
677	4042	1919
678	4046	1913
679	4050	1906
680	4055	1899
681	4059	1892
682	4062	1885
683	4066	1878
684	4072	1872
685	4078	1867
686	4083	1860
687	4087	1853
688	4091	1846
689	4095	1840
690	4099	1833
691	4103	1826
692	4106	1819
693	4110	1812
694	4114	1805
695	4118	1798
696	4124	1792
697	4129	1786
698	4135	1780
699	4138	1773
700	4142	1766
701	4145	1759
702	4153	1754
703	4156	1747
704	4160	1740
705	4165	1734
706	4170	1728
707	4174	1721
708	4178	1714
709	4185	1709
710	4189	1702
711	4198	1698
712	4204	1692
713	4213	1687
714	4220	1682
715	4224	1675
716	4234	1671
717	4238	1664
718	4242	1658
719	4249	1652
720	4253	1646
721	4266	1642
722	4269	1635
723	4276	1630
724	4282	1624
725	4285	1617
726	4293	1612
727	4298	1606
728	4301	1599
729	4308	1593
730	4314	1587
731	4317	1580
732	4324	1575
733	4331	1569
734	4334	1562
735	4343	1557
736	4349	1552
737	4360	1547
738	4364	1541
739	4367	1534
740	4370	1527
741	4376	1521
742	4380	1515
743	4385	1509
744	4390	1502
745	4395	1496
746	4403	1491
747	4410	1485
748	4416	1479
749	4421	1473
750	4424	1467
751	4428	1460
752	4436	1455
753	4440	1448
754	4443	1441
755	4448	1435
756	4453	1429
757	4456	1422
758	4460	1416
759	4464	1409
760	4468	1403
761	4473	1397
762	4479	1391
763	4484	1385
764	4488	1378
765	4493	1372
766	4498	1366
767	4501	1359
768	4504	1353
769	4508	1346
770	4512	1340
771	4516	1333
772	4520	1327
773	4524	1321
774	4527	1314
775	4532	1308
776	4536	1301
777	4542	1296
778	4547	1290
779	4553	1284
780	4560	1278
781	4565	1272
782	4570	1266
783	4575	1260
784	4579	1254
785	4587	1249
786	4592	1242
787	4596	1236
788	4601	1230
789	4605	1224
790	4609	1217
791	4615	1212
792	4619	1205
793	4622	1199
794	4626	1192
795	4630	1186
796	4635	1180
797	4640	1174
798	4644	1168
799	4650	1162
800	4655	1156
801	4660	1150
802	4665	1144
803	4669	1138
804	4673	1132
805	4678	1125
806	4682	1119
807	4686	1113
808	4689	1107
809	4693	1101
810	4698	1094
811	4701	1088
812	4705	1082
813	4709	1076
814	4713	1069
815	4718	1063
816	4722	1057
817	4727	1051
818	4731	1045
819	4736	1039
820	4741	1033
821	4747	1027
822	4750	1021
823	4754	1015
824	4760	1009
825	4764	1003
826	4769	997
827	4776	992
828	4782	986
829	4792	981
830	4796	975
831	4801	969
832	4809	964
833	4814	958
834	4818	952
835	4824	946
836	4833	941
837	4840	935
838	4844	929
839	4854	924
840	4857	918
841	4863	912
842	4868	906
843	4873	900
844	4883	895
845	4887	889
846	4891	883
847	4897	877
848	4903	872
849	4908	866
850	4913	860
851	4917	854
852	4925	848
853	4930	842
854	4934	836
855	4940	831
856	4946	825
857	4950	819
858	4958	813
859	4964	808
860	4976	803
861	4980	797
862	4988	791
863	4994	786
864	4997	779
865	5001	773
866	5007	768
867	5010	762
868	5014	755
869	5023	750
870	5028	744
871	5036	739
872	5042	733
873	5047	727
874	5053	721
875	5060	716
876	5070	711
877	5075	705
878	5082	699
879	5088	693
880	5092	687
881	5101	682
882	5105	676
883	5110	670
884	5115	664
885	5120	658
886	5125	653
887	5132	647
888	5136	641
889	5139	635
890	5144	629
891	5150	623
892	5155	617
893	5162	612
894	5166	606
895	5175	600
896	5181	594
897	5184	588
898	5196	583
899	5199	577
900	5208	572
901	5213	566
902	5219	560
903	5224	554
904	5227	548
905	5241	543
906	5244	537
907	5254	532
908	5258	526
909	5261	520
910	5268	514
911	5274	508
912	5283	503
913	5287	497
914	5291	491
915	5294	485
916	5301	479
917	5306	473
918	5314	468
919	5319	462
920	5327	456
921	5334	451
922	5341	445
923	5350	440
924	5360	434
925	5367	428
926	5377	423
927	5382	417
928	5390	411
929	5396	406
930	5400	400
931	5410	394
932	5415	388
933	5421	383
934	5426	377
935	5431	371
936	5443	366
937	5447	360
938	5454	354
939	5460	348
940	5463	342
941	5472	336
942	5476	331
943	5480	325
944	5486	319
945	5491	313
946	5496	307
947	5504	301
948	5507	295
949	5513	290
950	5518	284
951	5522	278
952	5527	272
953	5533	266
954	5537	260
955	5542	255
956	5546	249
957	5553	243
958	5561	237
959	5565	231
960	5570	226
961	5577	220
962	5583	214
963	5587	208
964	5597	203
965	5601	197
966	5609	191
967	5614	185
968	5618	179
969	5628	174
970	5632	168
971	5639	162
972	5645	156
973	5648	150
974	5657	145
975	5662	139
976	5666	133
977	5672	127
978	5677	121
979	5682	115
980	5694	110
981	5699	104
982	5705	98
983	5711	92
984	5716	87
985	5720	81
986	5725	75
987	5731	69
988	5737	63
989	5742	58
990	5754	52
991	5758	46
992	5766	40
993	5771	34
994	5775	29
995	5784	23
996	5788	17
997	5795	11
998	5801	5
999	5804	0
